held_out,DeepFakes,Face2Face,FaceSwap,NeuralTextures,SimSwap
DeepFakes,0.9332,0.9873,0.9926,0.9768,0.9252
Face2Face,0.9964,0.8098,0.9964,0.9844,0.8735
FaceSwap,0.9944,0.9933,0.4653,0.9827,0.9139
NeuralTextures,0.9964,0.9958,0.9993,0.6671,0.9049
