held_out,DeepFakes,Face2Face,FaceSwap,NeuralTextures,SimSwap
DeepFakes,0.9157,0.9971,0.9994,0.991,0.9307
Face2Face,0.9933,0.8412,0.9971,0.9847,0.9154
FaceSwap,0.9952,0.9983,0.3617,0.9903,0.838
NeuralTextures,0.9998,0.9988,0.9999,0.7124,0.8552
