held_out,DeepFakes,Face2Face,FaceSwap,NeuralTextures,SimSwap
DeepFakes,0.9263,0.9956,0.9991,0.9906,0.839
Face2Face,0.9951,0.8006,0.9979,0.9871,0.8981
FaceSwap,0.9952,0.9983,0.4055,0.9903,0.8688
NeuralTextures,0.9998,0.9988,0.9999,0.7638,0.8823
