backbone,held_out,seen_auc,unseen_auc,gap
efficientnet_b4,DeepFakes,0.9855666666666667,0.9211499999999999,0.06441666666666679
efficientnet_b4,Face2Face,0.9924,0.87385,0.11854999999999993
efficientnet_b4,FaceSwap,0.9901333333333332,0.6926,0.2975333333333332
efficientnet_b4,NeuralTextures,0.9971666666666666,0.8272999999999999,0.16986666666666672
legacy_xception,DeepFakes,0.9951,0.8826499999999999,0.11245000000000005
legacy_xception,Face2Face,0.9933666666666667,0.84935,0.14401666666666668
legacy_xception,FaceSwap,0.9946,0.63715,0.35745000000000005
legacy_xception,NeuralTextures,0.9994999999999999,0.8230500000000001,0.17644999999999988
